code,obec,počet obyv.,prevalence,/100 tis.,12. 9. 23,13. 9. 23,14. 9. 23,15. 9. 23,16. 9. 23,17. 9. 23,18. 9. 23,19. 9. 23,20. 9. 23,21. 9. 23,22. 9. 23,23. 9. 23,24. 9. 23,25. 9. 23,26. 9. 23,incidence 7d,/100tis.,3.3.20,10.3.20,17.3.20,24.3.20,31.3.20,7.4.20,14.4.20,21.4.20,28.4.20,5.5.20,12.5.20,19.5.20,26.5.20,2.6.20,9.6.20,16.6.20,23.6.20,30.6.20,7.7.20,14.7.20,21.7.20,28.7.20,4.8.20,11.8.20,18.8.20,25.8.20,1.9.20,8.9.20,15.9.20,22.9.20,29.9.20,6.10.20,13.10.20,20.10.20,27.10.20,3.11.20,10.11.20,17.11.20,24.11.20,1.12.20,8.12.20,15.12.20,22.12.20,29.12.20,5.1.21,12.1.21,19.1.21,26.1.21,2.2.21,9.2.21,16.2.21,23.2.21,2.3.21,9.3.21,16.3.21,23.3.21,30.3.21,6.4.21,13.4.21,20.4.21,27.4.21,4.5.21,11.5.21,18.5.21,25.5.21,1.6.21,8.6.21,15.6.21,22.6.21,29.6.21,6.7.21,13.7.21,20.7.21,27.7.21,3.8.21,10.8.21,17.8.21,24.8.21,31.8.21,7.9.21,14.9.21,21.9.21,28.9.21,5.10.21,12.10.21,19.10.21,26.10.21,2.11.21,9.11.21,16.11.21,23.11.21,30.11.21,7.12.21,14.12.21,21.12.21,28.12.21,4.1.22,11.1.22,18.1.22,25.1.22,1.2.22,8.2.22,15.2.22,22.2.22,1.3.22,8.3.22,15.3.22,22.3.22,29.3.22,5.4.22,12.4.22,19.4.22,26.4.22,3.5.22,10.5.22,17.5.22,24.5.22,31.5.22,7.6.22,14.6.22,21.6.22,28.6.22,5.7.22,12.7.22,19.7.22,26.7.22,2.8.22,9.8.22,16.8.22,23.8.22,30.8.22,6.9.22,13.9.22,20.9.22,27.9.22,4.10.22,11.10.22,18.10.22,25.10.22,1.11.22,8.11.22,15.11.22,22.11.22,29.11.22,6.12.22,13.12.22,20.12.22,27.12.22,3.1.23,10.1.23,17.1.23,24.1.23,31.1.23,7.2.23,14.2.23,21.2.23,28.2.23,7.3.23,14.3.23,21.3.23,28.3.23,4.4.23,11.4.23,18.4.23,25.4.23,2.5.23,9.5.23,16.5.23,23.5.23,30.5.23,6.6.23,13.6.23,20.6.23,27.6.23,4.7.23,11.7.23,18.7.23,25.7.23,1.8.23,8.8.23,15.8.23,22.8.23,29.8.23,5.9.23,12.9.23,19.9.23,26.9.23
554782,Praha,1324277,4416,334,317.1,321.0,322.3,323.6,323.0,322.0,326.3,330.4,334.8,333.7,331.9,327.7,324.9,327.3,333.5,340,26,3,29,123,335,453,359,191,179,59,96,82,130,62,89,88,115,105,83,65,93,190,396,370,399,488,554,754,1336,2231,3377,2981,3897,5734,8096,9695,6591,4158,2898,2529,2160,2727,3590,6119,6811,8931,7604,5080,4947,5296,6321,6976,9172,10850,10024,8276,6434,4584,2948,2767,1928,1504,1337,966,743,482,336,328,166,233,294,417,600,551,381,287,348,400,398,384,489,541,688,706,937,1089,1826,4046,5690,7307,10710,14441,14673,11756,8964,6939,5518,7340,12057,26681,38690,44016,27332,18124,12442,9476,8362,8764,9266,8724,7735,6204,3660,3256,2219,1232,806,491,470,491,796,1000,1853,2203,2617,3638,4336,3609,2881,2832,2410,2162,2238,2780,2805,3399,3291,3251,2406,1898,1098,877,784,668,808,904,946,733,464,457,298,286,257,333,466,658,985,868,837,785,630,462,315,193,219,138,94,72,71,48,53,38,21,35,25,9,7,8,16,21,33,48,77,71,130,229,326,340
582786,Brno,381346,1550,406,389.4,392.0,392.3,393.3,393.3,393.6,398.1,402.5,404.6,402.3,402.0,399.6,398.3,403.6,406.5,86,23,0,0,15,40,33,32,13,11,11,12,20,5,3,28,10,11,19,19,13,13,39,46,71,68,49,98,82,215,354,486,496,827,1455,2158,2702,1779,2397,992,849,753,734,1123,1526,1884,2223,2559,1509,1301,1162,1221,1346,1602,2148,2190,1938,1496,1285,829,783,521,462,390,306,250,124,108,63,43,37,44,23,39,43,54,41,53,52,54,66,119,113,124,166,280,366,680,1432,2479,3330,4513,5077,5179,4351,2914,1948,1153,1615,2043,4491,7017,13268,10349,7077,4591,3384,2796,2771,2652,2346,1993,1364,763,684,405,244,171,112,79,94,122,128,262,297,442,736,1018,992,808,760,637,642,722,810,977,1172,1057,1003,720,515,309,276,245,212,258,280,262,223,148,156,112,48,64,67,59,120,219,225,193,238,206,181,128,69,104,73,38,29,17,9,9,12,7,10,7,5,2,5,4,3,6,11,17,19,28,54,79,86
554821,Ostrava,287968,1378,478,459.1,461.2,461.5,462.2,461.2,460.1,463.9,466.4,470.5,470.5,473.3,471.9,470.9,473.3,478.5,57,20,0,0,6,17,45,79,84,58,36,35,18,23,20,5,11,4,15,68,69,34,39,45,29,47,34,40,42,66,175,320,306,699,1024,1361,1942,1770,1382,772,616,642,997,1238,2268,2151,2889,2691,1315,954,838,717,668,909,1072,1137,1232,1222,1031,818,897,729,571,511,383,270,169,108,56,32,44,47,25,34,26,21,17,20,19,20,40,59,75,112,155,253,425,795,1310,1959,2398,2835,3329,3667,3076,2219,1475,847,803,811,1811,4357,7958,7161,4934,3062,1923,1535,1319,1391,1305,1191,709,407,368,269,121,83,54,34,34,53,59,108,137,257,459,795,657,583,488,438,384,380,542,567,580,546,478,311,223,149,114,102,95,142,220,214,173,76,78,45,34,74,31,41,47,65,101,78,104,87,68,60,35,35,16,15,9,8,8,2,2,2,3,2,1,1,3,1,1,5,1,1,8,8,18,40,57
554791,Plzeň,174842,681,390,376.9,380.9,380.9,379.8,378.6,378.1,380.3,383.8,389.5,387.2,387.8,383.2,380.9,386.1,389.5,36,21,0,1,4,9,19,21,14,6,7,2,4,0,2,1,0,0,3,1,1,2,3,13,18,23,25,48,56,88,216,332,350,491,795,1409,1698,1135,691,594,436,324,359,428,777,818,941,1073,720,723,781,953,1173,1685,2084,2001,1709,1044,721,416,336,195,202,100,81,56,46,35,30,18,12,10,48,107,73,70,82,20,22,13,22,20,31,73,42,82,109,266,529,797,1298,1601,1841,1877,1459,1072,831,514,551,626,1560,3755,6015,4109,2970,2144,1861,1677,1595,1419,1094,805,577,244,207,158,111,73,28,22,31,41,85,145,169,212,352,419,311,301,270,313,254,302,434,463,592,611,486,347,204,141,100,81,77,79,107,103,95,46,47,48,60,55,60,101,149,178,178,145,127,95,66,42,25,32,17,11,12,6,1,11,8,2,4,4,1,1,2,5,1,3,4,7,5,12,22,28,36
563889,Liberec,104802,366,349,320.6,323.5,327.3,330.1,330.1,330.1,334.0,341.6,347.3,351.1,352.1,349.2,344.5,348.3,349.2,24,23,0,0,0,6,32,14,3,0,2,1,0,0,0,1,1,1,35,13,19,6,3,14,10,13,8,20,34,42,129,275,244,434,601,837,1074,829,710,391,345,233,304,498,755,711,847,965,774,586,597,559,638,867,1145,977,952,622,532,310,303,160,143,112,93,58,63,54,34,36,20,11,15,14,17,13,9,7,30,14,10,26,7,14,8,34,45,43,129,229,330,519,836,1053,1080,1039,791,385,479,487,903,1729,3231,2894,1683,1044,660,660,564,634,463,317,214,87,128,100,72,32,23,10,15,15,41,59,57,99,139,154,199,213,210,161,159,182,207,256,290,255,308,235,126,63,48,52,54,60,75,52,43,26,42,31,23,26,48,64,99,76,73,63,51,46,41,22,10,12,7,4,3,2,0,2,1,2,1,2,0,1,1,0,3,2,3,2,4,2,6,26,24
500496,Olomouc,100663,418,415,407.3,413.3,416.2,419.2,416.2,413.3,417.2,423.2,425.2,418.2,419.2,412.3,409.3,412.3,415.2,19,19,0,1,1,13,65,57,15,12,7,2,2,2,0,4,28,9,4,4,4,15,4,15,8,11,15,32,24,48,90,152,200,311,412,827,805,613,376,260,178,254,168,346,408,570,563,720,388,358,372,374,410,478,668,806,648,568,385,279,263,204,169,124,73,62,40,14,11,14,1,2,4,13,16,11,12,31,18,10,10,15,19,30,25,55,91,153,450,662,1022,1592,1838,1761,1328,834,545,294,332,433,870,1591,2670,2690,1847,1011,716,544,560,686,657,565,352,209,167,90,60,28,21,23,24,23,26,51,64,115,185,204,218,206,198,211,168,157,239,218,249,283,229,214,124,74,62,38,36,31,49,57,56,35,42,31,19,15,19,25,34,42,49,59,46,60,48,29,20,18,13,5,2,11,4,5,3,0,4,2,0,0,0,0,1,5,0,3,8,4,20,25,19
544256,České Budějovice,94463,470,498,480.6,483.8,482.7,483.8,484.8,483.8,488.0,492.3,493.3,495.4,495.4,493.3,491.2,495.4,497.5,20,21,0,0,3,6,5,3,8,2,1,0,0,0,0,0,1,0,0,0,0,0,1,5,3,7,6,32,26,36,58,124,92,212,471,723,1064,848,659,296,224,138,157,177,431,375,556,627,425,335,357,334,339,369,405,437,631,617,524,331,402,213,244,219,139,79,63,58,71,31,14,4,11,3,6,20,9,32,39,29,29,23,34,43,52,138,160,281,552,643,857,953,1265,1408,974,721,434,285,299,300,759,1692,2627,2184,1530,929,630,562,652,596,636,491,304,148,126,73,61,30,15,16,9,24,18,41,73,129,218,236,167,145,144,137,104,165,190,183,259,285,251,155,142,70,62,48,33,38,54,48,45,39,38,8,8,24,20,26,42,61,74,60,60,52,30,30,19,7,15,5,1,3,3,2,1,0,1,1,0,1,0,0,1,2,2,7,1,7,11,20,20
569810,Hradec Králové,92939,393,423,409.9,411.0,411.0,408.9,407.8,406.7,407.8,412.1,415.3,419.6,419.6,417.5,415.3,420.7,422.9,23,25,0,0,3,8,12,8,2,2,2,1,1,0,1,2,1,0,3,3,1,4,6,10,14,15,10,13,23,36,73,82,66,164,360,733,1117,761,538,269,270,194,237,412,598,887,1087,1205,835,893,787,896,808,925,1033,740,530,333,216,135,108,75,51,53,43,40,13,8,8,1,2,1,7,21,9,11,23,12,11,8,3,12,16,16,13,39,37,46,121,167,469,738,1061,1282,1134,897,728,428,374,449,1128,2115,3058,2010,1435,986,901,785,896,756,634,480,333,208,179,111,76,35,34,28,25,41,43,60,103,158,195,228,284,226,214,219,167,187,205,291,382,421,301,232,154,94,68,77,65,66,95,86,62,24,16,54,19,32,30,53,65,87,100,63,79,69,61,40,16,11,7,10,6,2,2,2,2,3,0,0,1,0,0,0,0,0,3,1,6,12,12,15,23
554804,Ústí nad Labem,92716,422,455,442.2,444.4,446.5,448.7,445.4,444.4,447.6,451.9,458.4,454.1,456.2,455.2,448.7,449.8,455.2,23,25,0,0,4,12,19,25,0,4,2,0,0,3,0,2,5,0,0,1,0,0,2,12,3,2,10,10,13,17,79,181,111,171,356,398,721,736,566,325,264,209,228,370,524,460,771,639,299,309,300,415,417,567,733,812,792,639,501,294,315,251,181,195,72,53,20,23,13,8,6,8,10,7,5,5,5,4,4,7,14,22,21,18,21,25,25,19,100,175,397,612,956,1116,1118,1002,858,417,502,639,1375,2034,2726,1823,1141,671,572,634,715,727,552,401,306,160,182,98,68,28,18,20,16,26,28,74,89,105,188,207,217,199,231,181,156,158,186,278,330,320,302,208,130,66,68,48,39,56,49,66,46,18,26,24,18,18,26,42,69,98,101,89,79,69,60,31,10,8,6,7,4,2,0,4,2,1,2,1,0,0,0,1,0,1,3,3,1,8,14,22,23
555134,Pardubice,91727,379,413,389.2,396.8,395.7,395.7,394.6,390.3,396.8,403.4,409.9,408.8,408.8,402.3,401.2,403.4,413.2,30,33,0,1,0,8,17,25,14,6,2,0,2,1,3,0,1,0,2,1,1,2,1,4,11,14,27,28,19,38,72,106,103,148,243,403,661,893,597,350,199,180,183,371,565,662,924,820,594,492,581,719,892,976,1010,940,940,653,409,281,273,170,108,75,62,47,26,15,7,7,11,7,3,9,16,14,34,13,2,5,15,16,16,37,21,39,83,98,199,322,535,926,1013,1194,927,644,489,295,348,466,1129,2192,3311,2119,1230,766,505,482,504,550,554,410,323,175,164,109,78,39,22,19,18,23,31,56,65,75,114,145,196,163,149,185,123,157,183,217,280,301,262,182,134,68,56,44,49,58,53,50,52,41,22,21,16,7,28,36,52,64,80,58,69,56,35,12,8,18,5,1,4,6,5,2,2,2,1,3,1,2,1,0,2,5,1,2,6,7,18,26,30
