datum,Nové hospitalizace,Nově na JIP
2020-03-01,0,0
2020-03-08,0,0
2020-03-15,9,0
2020-03-22,134,27
2020-03-29,292,49
2020-04-05,279,47
2020-04-12,257,40
2020-04-19,159,22
2020-04-26,178,23
2020-05-03,91,8
2020-05-10,77,11
2020-05-17,48,8
2020-05-24,46,7
2020-05-31,39,3
2020-06-07,34,3
2020-06-14,42,6
2020-06-21,55,4
2020-06-28,44,6
2020-07-05,46,7
2020-07-12,45,9
2020-07-19,52,3
2020-07-26,69,3
2020-08-02,98,5
2020-08-09,87,13
2020-08-16,105,9
2020-08-23,130,8
2020-08-30,143,18
2020-09-06,219,29
2020-09-13,339,34
2020-09-20,648,81
2020-09-27,975,120
2020-10-04,1403,186
2020-10-11,2461,295
2020-10-18,3998,394
2020-10-25,6255,596
2020-11-01,7429,653
2020-11-08,6752,598
2020-11-15,5392,418
2020-11-22,4024,378
2020-11-29,3637,308
2020-12-06,3480,317
2020-12-13,3679,318
2020-12-20,3838,354
2020-12-27,4338,437
2021-01-03,6187,587
2021-01-10,6829,606
2021-01-17,5524,504
2021-01-24,4922,440
2021-01-31,4540,465
2021-02-07,4804,481
2021-02-14,4881,489
2021-02-21,5683,550
2021-02-28,6768,718
2021-03-07,7337,746
2021-03-14,7330,699
2021-03-21,6603,618
2021-03-28,5832,575
2021-04-04,4889,468
2021-04-11,3961,392
2021-04-18,2875,298
2021-04-25,2367,260
2021-05-02,1817,205
2021-05-09,1437,158
2021-05-16,998,108
2021-05-23,630,72
2021-05-30,395,52
2021-06-06,252,35
2021-06-13,134,19
2021-06-20,96,13
2021-06-27,52,4
2021-07-04,45,9
2021-07-11,36,11
2021-07-18,51,11
2021-07-25,71,12
2021-08-01,66,10
2021-08-08,67,12
2021-08-15,63,11
2021-08-22,81,15
2021-08-29,68,11
2021-09-05,86,15
2021-09-12,134,18
2021-09-19,178,27
2021-09-26,171,27
2021-10-03,246,29
2021-10-10,365,59
2021-10-17,555,73
2021-10-24,1064,124
2021-10-31,1766,156
2021-11-07,2898,257
2021-11-14,3803,308
2021-11-21,4897,412
2021-11-28,5614,462
2021-12-05,5450,450
2021-12-12,4620,343
2021-12-19,3698,305
2021-12-26,2585,248
2022-01-02,2364,254
2022-01-09,1725,174
2022-01-16,1181,115
2022-01-23,1761,152
2022-01-30,2947,230
2022-02-06,4170,277
2022-02-13,4649,275
2022-02-20,4023,257
2022-02-27,3333,256
2022-03-06,2662,167
2022-03-13,2560,149
2022-03-20,2509,151
2022-03-27,2081,143
2022-04-03,1919,141
2022-04-10,1657,128
2022-04-17,1158,89
2022-04-24,1052,77
2022-05-01,800,41
2022-05-08,503,34
2022-05-15,271,30
2022-05-22,225,15
2022-05-29,137,14
2022-06-05,118,13
2022-06-12,124,10
2022-06-19,137,8
2022-06-26,181,8
2022-07-03,348,19
2022-07-10,392,27
2022-07-17,805,46
2022-07-24,1329,91
2022-07-31,1573,93
2022-08-07,1476,74
2022-08-14,1362,66
2022-08-21,1195,72
2022-08-28,943,47
2022-09-04,902,68
2022-09-11,1023,79
2022-09-18,1187,75
2022-09-25,1505,80
2022-10-02,2274,121
2022-10-09,2306,142
2022-10-16,1837,95
2022-10-23,1389,89
2022-10-30,1016,59
2022-11-06,847,72
2022-11-13,665,47
2022-11-20,630,44
2022-11-27,707,54
2022-12-04,887,53
2022-12-11,998,62
2022-12-18,1024,58
2022-12-25,925,67
2023-01-01,812,59
2023-01-08,653,54
2023-01-15,405,41
2023-01-22,375,50
2023-01-29,368,17
2023-02-05,464,21
2023-02-12,632,34
2023-02-19,833,39
2023-02-26,1027,39
2023-03-05,931,48
2023-03-12,1040,69
2023-03-19,1045,47
2023-03-26,837,50
2023-04-02,660,49
2023-04-09,468,27
2023-04-16,489,28
2023-04-23,254,17
2023-04-30,235,18
2023-05-07,157,9
2023-05-14,138,9
2023-05-21,109,12
2023-05-28,58,0
2023-06-04,57,0
2023-06-11,37,2
2023-06-18,21,5
2023-06-25,24,0
2023-07-02,11,1
2023-07-09,16,4
2023-07-16,15,0
2023-07-23,9,3
2023-07-30,11,2
2023-08-06,15,3
2023-08-13,27,1
2023-08-20,30,2
2023-08-27,64,2
2023-09-03,56,5
2023-09-10,113,11
2023-09-17,217,15
2023-09-24,236,20
2023-10-01,332,23
2023-10-08,348,21
2023-10-15,416,23
2023-10-22,534,33
2023-10-29,709,37
2023-11-05,764,48
2023-11-12,677,30
2023-11-19,816,56
2023-11-26,1104,59
2023-12-03,1204,71
2023-12-10,1493,85
2023-12-17,1717,107
2023-12-24,1299,97
2023-12-31,1069,86
2024-01-07,751,65
2024-01-14,394,36
2024-01-21,293,21
2024-01-28,201,10
2024-02-04,135,19
2024-02-11,114,23
2024-02-18,85,7
2024-02-25,55,8
2024-03-03,31,5
2024-03-10,23,6
2024-03-17,17,5
2024-03-24,19,5
2024-03-31,12,4
2024-04-07,19,2
2024-04-14,14,1
2024-04-21,15,0
2024-04-28,4,0
2024-05-05,10,0
2024-05-12,4,0
2024-05-19,5,2
2024-05-26,13,0
2024-06-02,9,1
2024-06-09,4,0
2024-06-16,10,0
2024-06-23,11,0
2024-06-30,12,2
2024-07-07,6,1
2024-07-14,16,2
2024-07-21,16,0
2024-07-28,41,6
2024-08-04,43,1
2024-08-11,77,7
2024-08-18,102,8
2024-08-25,107,9
2024-09-01,151,6
2024-09-08,183,13
2024-09-15,241,13
2024-09-22,391,8
2024-09-29,627,31
2024-10-06,687,37
2024-10-13,677,41
2024-10-20,423,23
