code,obec,počet obyv.,datum,datum-7,"dnes (ČR: 1,1)",dnes,dnes-7,změna,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,week_52,20.3.23,27.3.23,3.4.23,10.4.23,17.4.23,24.4.23,1.5.23,8.5.23,15.5.23,22.5.23,29.5.23,5.6.23,12.6.23,19.6.23,26.6.23,3.7.23,10.7.23,17.7.23,24.7.23,31.7.23,7.8.23,14.8.23,21.8.23,28.8.23,4.9.23,11.9.23,18.9.23,25.9.23,2.10.23,9.10.23,16.10.23,23.10.23,30.10.23,6.11.23,13.11.23,20.11.23,27.11.23,4.12.23,11.12.23,18.12.23,25.12.23,1.1.24,8.1.24,15.1.24,22.1.24,29.1.24,5.2.24,12.2.24,19.2.24,26.2.24,4.3.24,11.3.24,12.3.24,13.3.24,14.3.24,15.3.24,16.3.24,17.3.24,18.3.24
554979,Abertamy,939,18. 3. 2024,11. 3. 2024,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,100,0,100,0,0,100,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,106,106,0,0,106,0,106,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
581291,Adamov (BK),4507,18. 3. 2024,11. 3. 2024,0,0,0,0,0,31,0,8,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,8,15,8,0,0,8,31,8,0,31,31,77,69,100,62,15,15,0,0,0,8,0,0,0,0,0,0,0,89,0,22,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,0,22,44,22,0,0,22,89,22,0,89,89,222,200,288,178,44,44,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
535826,Adamov (CB),963,18. 3. 2024,11. 3. 2024,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,100,50,0,0,100,50,0,50,0,0,0,0,0,0,0,50,0,0,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,208,104,0,0,208,104,0,104,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0
531367,Adamov (KH),125,18. 3. 2024,11. 3. 2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
547786,Adršpach,503,18. 3. 2024,11. 3. 2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598925,Albrechtice (KI),3842,18. 3. 2024,11. 3. 2024,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,50,50,0,0,100,0,50,50,0,0,50,0,50,50,50,100,50,100,0,0,0,0,50,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,26,26,0,0,52,0,26,26,0,0,26,0,26,26,26,52,26,52,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
547981,Albrechtice (UO),455,18. 3. 2024,11. 3. 2024,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,50,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,0,0,0,0,0,220,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576077,Albrechtice nad Orlicí,978,18. 3. 2024,11. 3. 2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,25,50,25,0,25,25,25,25,0,0,25,0,100,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,102,0,0,102,204,102,0,102,102,102,102,0,0,102,0,409,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
549258,Albrechtice nad Vltavou,918,18. 3. 2024,11. 3. 2024,0,0,0,0,0,25,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50,100,25,25,0,25,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,218,436,109,109,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563528,Albrechtice v Jizerských horách,349,18. 3. 2024,11. 3. 2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
