kód,obec,kraj,počet obyv.,datum,datum-7,"dnes (ČR: 68,3)",dnes,dnes-7,změna,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,12.10.23,19.10.23,26.10.23,2.11.23,9.11.23,16.11.23,23.11.23,30.11.23,7.12.23,14.12.23,21.12.23,28.12.23,4.1.24,11.1.24,18.1.24,25.1.24,1.2.24,8.2.24,15.2.24,22.2.24,29.2.24,7.3.24,14.3.24,21.3.24,28.3.24,4.4.24,11.4.24,18.4.24,25.4.24,2.5.24,9.5.24,16.5.24,23.5.24,30.5.24,6.6.24,13.6.24,20.6.24,27.6.24,4.7.24,11.7.24,18.7.24,25.7.24,1.8.24,8.8.24,15.8.24,22.8.24,29.8.24,5.9.24,12.9.24,19.9.24,26.9.24,3.10.24,4.10.24,5.10.24,6.10.24,7.10.24,8.10.24,9.10.24,10.10.24
1000,Praha,10,1357326,10. 10. 2024,3. 10. 2024,"42,7","42,7","41,5","1,2",22,22,26,25,32,34,39,50,71,100,86,31,29,15,13,8,5,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,4,4,6,6,9,9,12,13,16,25,37,"26,6","27,6","31,6","31,2","39,0","41,6","47,5","61,7","87,2","122,9","105,5","38,2","35,7","18,6","15,8","10,4","5,6","5,4","2,9","3,0","2,3","1,2","1,8","1,3","1,4","0,7","0,7","0,8","0,7","0,7","0,8","1,0","1,3","0,8","1,0","2,5","2,6","3,0","2,4","3,8","4,8","5,2","6,9","8,0","11,1","10,9","14,7","16,1","19,1","30,1","45,3","41,5","42,7","42,8","42,8","42,6","41,0","43,9","42,7"
2001,Benešov,20,63219,10. 10. 2024,3. 10. 2024,"55,4","55,4","66,4","-11,1",20,20,15,31,37,43,43,55,71,100,77,48,29,11,3,3,2,6,2,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,0,3,0,5,5,3,9,9,20,38,52,"20,6","20,6","15,8","31,6","38,0","44,3","44,3","56,9","72,8","102,8","79,1","49,0","30,1","11,1","3,2","3,2","1,6","6,3","1,6","1,6","0,0","1,6","3,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,6","1,6","0,0","3,2","0,0","3,2","0,0","4,7","4,7","3,2","9,5","9,5","20,6","39,5","53,8","66,4","75,9","75,9","71,2","53,8","56,9","53,8","55,4"
2002,Beroun,20,69040,10. 10. 2024,3. 10. 2024,"55,0","55,0","69,5","-14,5",25,29,19,26,28,29,40,57,62,100,87,24,13,18,7,12,4,2,4,1,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,3,1,0,1,4,1,2,2,4,2,8,9,16,14,29,36,"34,8","40,6","26,1","36,2","39,1","40,6","55,0","78,2","85,5","137,6","120,2","33,3","17,4","24,6","10,1","15,9","5,8","2,9","5,8","1,4","2,9","2,9","2,9","0,0","1,4","1,4","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,3","1,4","0,0","1,4","5,8","1,4","2,9","2,9","5,8","2,9","11,6","13,0","21,7","18,8","40,6","49,2","69,5","65,2","66,6","68,1","60,8","52,1","53,6","55,0"
2003,Brandýs nad Labem-Stará Boleslav,20,120779,10. 10. 2024,3. 10. 2024,"39,7","39,7","35,6","4,1",20,22,21,25,25,28,39,55,80,100,91,23,28,9,9,5,1,4,3,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,2,1,2,3,2,3,7,5,13,11,17,15,20,38,"24,8","27,3","25,7","30,6","30,6","35,6","48,8","68,7","100,2","125,0","113,4","29,0","34,8","10,8","11,6","6,6","1,7","5,0","3,3","0,0","1,7","0,8","0,0","0,8","0,0","0,8","0,0","0,8","0,0","0,0","1,7","0,0","0,0","0,0","1,7","0,0","0,8","2,5","0,8","2,5","4,1","2,5","4,1","9,1","5,8","16,6","14,1","20,7","19,0","24,8","48,0","35,6","35,6","34,8","34,8","35,6","35,6","40,6","39,7"
2004,Čáslav,20,26427,10. 10. 2024,3. 10. 2024,"121,1","121,1","49,2","71,9",23,19,10,84,68,48,71,77,100,77,71,48,26,13,3,0,3,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,6,0,0,3,13,0,13,35,13,6,42,61,"26,5","22,7","11,4","98,4","79,5","56,8","83,2","90,8","117,3","90,8","83,2","56,8","30,3","15,1","3,8","0,0","3,8","3,8","3,8","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,8","3,8","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,8","0,0","7,6","0,0","0,0","3,8","15,1","0,0","15,1","41,6","15,1","7,6","49,2","71,9","49,2","45,4","49,2","49,2","45,4","49,2","68,1","121,1"
2005,Černošice,20,158235,10. 10. 2024,3. 10. 2024,"41,1","41,1","53,7","-12,6",20,20,27,22,25,34,44,60,83,97,100,34,29,13,8,9,4,5,2,1,1,1,0,1,2,1,0,0,1,1,1,1,0,1,0,3,3,2,2,4,4,3,4,11,8,11,14,17,23,36,51,"24,6","24,6","33,5","26,5","30,3","41,7","54,3","73,9","101,7","120,1","123,2","42,3","35,4","16,4","10,1","11,4","5,1","5,7","2,5","0,6","1,3","1,3","0,0","0,6","1,9","0,6","0,0","0,0","1,3","0,6","1,3","0,6","0,0","0,6","0,0","3,2","3,8","2,5","1,9","4,4","4,4","3,8","4,4","13,3","9,5","13,9","17,1","21,5","27,8","44,9","63,2","53,7","51,8","51,8","51,8","44,2","44,9","39,8","41,1"
2006,Český Brod,20,20725,10. 10. 2024,3. 10. 2024,"53,1","53,1","53,1","0,0",10,10,10,20,30,43,47,60,87,43,100,43,17,10,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,10,0,3,3,20,0,7,3,13,27,33,"14,5","14,5","14,5","29,0","43,4","62,7","67,6","86,9","125,5","62,7","144,8","62,7","24,1","14,5","0,0","0,0","19,3","4,8","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,8","0,0","0,0","0,0","0,0","4,8","0,0","14,5","0,0","4,8","4,8","29,0","0,0","9,7","4,8","19,3","38,6","48,3","53,1","72,4","72,4","72,4","57,9","48,3","48,3","53,1"
2007,Dobříš,20,23935,10. 10. 2024,3. 10. 2024,"100,3","100,3","79,4","20,9",35,19,41,27,46,49,43,54,86,100,95,27,32,46,14,19,14,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,3,3,11,19,19,22,27,32,43,"54,3","29,2","62,7","41,8","71,0","75,2","66,8","83,6","133,7","154,6","146,2","41,8","50,1","71,0","20,9","29,2","20,9","4,2","0,0","4,2","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,2","0,0","0,0","0,0","0,0","0,0","4,2","0,0","0,0","0,0","0,0","4,2","0,0","0,0","4,2","4,2","16,7","29,2","29,2","33,4","41,8","50,1","66,8","79,4","79,4","79,4","83,6","83,6","91,9","96,1","100,3"
2008,Hořovice,20,31477,10. 10. 2024,3. 10. 2024,"63,5","63,5","79,4","-15,9",14,10,24,28,24,32,28,34,48,100,58,14,14,14,8,2,4,2,4,6,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,2,2,2,0,2,12,4,2,18,12,16,18,38,"22,2","15,9","38,1","44,5","38,1","50,8","44,5","54,0","76,2","158,8","92,1","22,2","22,2","22,2","12,7","3,2","6,4","3,2","6,4","9,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,2","0,0","0,0","0,0","0,0","3,2","0,0","3,2","0,0","0,0","3,2","3,2","3,2","0,0","3,2","19,1","6,4","3,2","28,6","19,1","25,4","28,6","60,4","79,4","89,0","92,1","92,1","108,0","98,5","82,6","63,5"
2009,Kladno,20,126779,10. 10. 2024,3. 10. 2024,"84,4","84,4","59,9","24,5",21,18,32,33,37,42,56,54,63,100,94,33,23,20,10,8,5,3,3,2,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,2,2,1,2,2,3,5,5,5,16,11,15,17,38,49,"30,0","26,0","45,7","47,3","53,6","59,9","81,2","77,3","90,7","144,3","135,7","48,1","33,9","29,2","14,2","11,0","7,1","4,7","3,9","2,4","0,8","0,0","0,8","1,6","0,0","0,0","1,6","0,0","0,8","0,8","0,8","1,6","0,8","0,0","0,8","0,0","3,2","2,4","0,8","3,2","3,2","4,7","7,1","7,9","7,9","23,7","16,6","21,3","25,2","54,4","71,0","59,9","72,6","72,6","73,4","73,4","78,1","80,5","84,4"
