kód,obec,kraj,počet obyv.,datum,datum-7,"dnes (ČR: 62,3)",dnes,dnes-7,změna,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,25.9.24,2.10.24,9.10.24,16.10.24,23.10.24,30.10.24,6.11.24,13.11.24,20.11.24,27.11.24,4.12.24,11.12.24,18.12.24,25.12.24,1.1.25,8.1.25,15.1.25,22.1.25,29.1.25,5.2.25,12.2.25,19.2.25,26.2.25,5.3.25,12.3.25,19.3.25,26.3.25,2.4.25,9.4.25,16.4.25,23.4.25,30.4.25,7.5.25,14.5.25,21.5.25,28.5.25,4.6.25,11.6.25,18.6.25,25.6.25,2.7.25,9.7.25,16.7.25,23.7.25,30.7.25,6.8.25,13.8.25,20.8.25,27.8.25,3.9.25,10.9.25,17.9.25,18.9.25,19.9.25,20.9.25,21.9.25,22.9.25,23.9.25,24.9.25
1000,Praha,10,1357326,24. 9. 2025,17. 9. 2025,"330,8","330,8","317,8","13,0",97,100,99,97,91,85,83,84,83,83,84,83,82,81,80,80,80,80,80,80,79,78,78,78,78,78,78,79,79,79,78,78,78,78,78,78,79,79,79,79,79,79,79,80,81,81,82,82,83,85,88,91,"337,4","348,8","346,3","338,3","317,4","296,8","288,8","294,7","290,3","288,4","291,6","289,5","287,1","283,6","278,3","280,6","279,9","278,3","278,4","277,5","275,8","273,5","272,5","272,8","273,0","272,9","273,4","274,1","274,0","274,3","273,2","272,0","271,8","271,9","271,8","273,3","275,8","275,8","276,4","276,4","276,3","276,8","276,5","277,9","281,0","282,5","286,1","287,8","289,2","296,3","306,3","317,8","318,5","321,2","316,8","312,2","319,4","324,2","330,8"
2001,Benešov,20,63219,24. 9. 2025,17. 9. 2025,"441,3","441,3","436,6","4,7",96,100,100,94,92,88,84,84,85,85,85,84,83,82,80,80,80,80,80,80,80,81,80,79,80,80,80,79,79,79,79,79,79,79,79,79,80,79,80,80,80,80,80,80,80,81,80,80,81,82,83,86,"490,4","507,8","509,3","480,9","468,2","447,7","428,7","430,3","435,0","433,4","433,4","427,1","423,9","416,0","406,5","409,7","406,5","406,5","404,9","404,9","409,7","411,3","406,5","403,4","406,5","404,9","404,9","403,4","403,4","403,4","403,4","403,4","403,4","403,4","403,4","403,4","404,9","403,4","404,9","404,9","408,1","409,7","409,7","408,1","408,1","411,3","409,7","406,5","412,9","419,2","423,9","436,6","436,6","438,2","435,0","433,4","433,4","436,6","441,3"
2002,Beroun,20,69040,24. 9. 2025,17. 9. 2025,"291,1","291,1","266,5","24,6",95,100,98,89,86,82,75,78,76,75,74,74,73,71,69,71,71,72,73,72,69,71,72,71,72,69,69,69,69,69,68,68,68,69,69,68,68,69,70,70,67,69,68,69,70,70,70,71,71,72,78,79,"320,1","336,0","328,8","299,8","289,7","275,2","253,5","262,2","254,9","250,6","247,7","247,7","246,2","239,0","231,7","239,0","239,0","240,4","244,8","241,9","231,7","237,5","240,4","239,0","241,9","233,2","231,7","230,3","231,7","230,3","227,4","227,4","227,4","230,3","231,7","227,4","227,4","231,7","236,1","234,6","226,0","230,3","228,9","231,7","236,1","234,6","236,1","237,5","237,5","241,9","260,7","266,5","276,7","281,0","273,8","269,4","276,7","282,4","291,1"
2003,Brandýs nad Labem-Stará Boleslav,20,120779,24. 9. 2025,17. 9. 2025,"249,2","249,2","247,6","1,7",99,100,95,95,89,76,71,75,73,73,80,77,78,79,74,74,75,75,74,73,73,74,74,74,74,73,73,74,74,73,73,73,73,73,73,73,75,75,74,73,74,74,75,76,75,76,78,79,77,83,87,95,"256,7","260,0","246,7","245,9","231,8","198,7","183,8","194,6","189,6","188,8","207,0","201,2","203,7","204,5","191,3","192,1","195,4","193,7","192,9","189,6","190,4","191,3","191,3","191,3","191,3","189,6","190,4","191,3","191,3","189,6","188,8","189,6","188,8","189,6","188,8","188,8","193,7","194,6","191,3","190,4","191,3","192,9","195,4","197,1","196,2","198,7","203,7","204,5","199,5","216,9","225,2","247,6","248,4","253,4","249,2","246,7","241,8","245,1","249,2"
2004,Čáslav,20,26427,24. 9. 2025,17. 9. 2025,"431,4","431,4","401,1","30,3",95,95,86,100,90,78,80,80,77,78,76,75,72,72,71,72,71,71,72,72,73,74,74,74,73,72,72,73,72,72,72,71,71,71,71,71,72,71,71,72,72,71,72,71,72,73,72,74,77,77,76,80,"480,6","476,8","435,2","503,3","454,1","393,5","404,9","401,1","389,8","393,5","382,2","378,4","363,3","363,3","359,5","363,3","359,5","359,5","363,3","363,3","367,0","370,8","370,8","370,8","367,0","363,3","363,3","367,0","363,3","363,3","363,3","359,5","359,5","359,5","359,5","359,5","363,3","359,5","359,5","363,3","363,3","359,5","363,3","359,5","363,3","367,0","363,3","370,8","389,8","389,8","382,2","401,1","420,0","423,8","416,2","412,5","423,8","431,4","431,4"
2005,Černošice,20,158235,24. 9. 2025,17. 9. 2025,"240,8","240,8","245,8","-5,1",99,100,94,90,87,82,77,75,74,73,73,73,74,71,67,69,68,68,72,72,68,67,67,67,68,67,67,66,65,66,66,66,66,67,67,67,67,67,67,68,67,67,68,68,68,67,70,72,71,72,76,83,"293,2","295,1","276,8","266,7","255,3","241,4","226,2","219,9","218,7","216,1","216,8","214,2","218,0","210,4","197,8","203,5","199,7","201,0","211,7","211,1","201,6","197,8","198,4","198,4","200,3","197,2","196,5","193,4","192,1","194,0","195,3","193,4","194,0","196,5","196,5","196,5","198,4","197,2","196,5","201,0","199,1","199,1","201,0","199,7","199,7","198,4","207,9","213,6","209,8","212,3","223,1","245,8","245,8","243,9","236,4","233,8","237,0","235,1","240,8"
2006,Český Brod,20,20725,24. 9. 2025,17. 9. 2025,"482,5","482,5","463,2","19,3",93,98,100,98,98,89,89,87,86,83,81,80,77,80,82,80,80,78,79,80,79,80,79,79,80,80,79,79,79,80,79,79,79,79,79,79,78,79,78,79,79,79,78,78,78,79,79,82,80,85,88,93,"463,2","487,3","497,0","487,3","487,3","443,9","443,9","434,3","429,4","415,0","400,5","395,7","381,2","395,7","405,3","395,7","395,7","386,0","390,8","395,7","390,8","395,7","390,8","390,8","395,7","395,7","390,8","390,8","390,8","395,7","390,8","390,8","390,8","390,8","390,8","390,8","386,0","390,8","386,0","390,8","390,8","390,8","386,0","386,0","386,0","390,8","390,8","405,3","395,7","424,6","439,1","463,2","468,0","468,0","458,4","448,7","453,6","463,2","482,5"
2007,Dobříš,20,23935,24. 9. 2025,17. 9. 2025,"296,6","296,6","250,7","46,0",84,92,100,96,73,62,61,62,62,60,59,59,54,52,57,55,52,54,53,53,52,54,52,52,52,52,53,53,53,54,52,52,52,52,52,52,52,54,54,52,52,52,52,53,54,54,54,55,54,53,53,65,"321,7","355,1","384,4","367,7","279,9","238,1","234,0","238,1","238,1","229,8","225,6","225,6","208,9","200,5","217,3","213,1","200,5","208,9","204,7","204,7","200,5","208,9","200,5","200,5","200,5","200,5","204,7","204,7","204,7","208,9","200,5","200,5","200,5","200,5","200,5","200,5","200,5","208,9","208,9","200,5","200,5","200,5","200,5","204,7","208,9","208,9","208,9","213,1","208,9","204,7","204,7","250,7","254,9","271,6","267,4","259,0","284,1","284,1","296,6"
2008,Hořovice,20,31477,24. 9. 2025,17. 9. 2025,"330,4","330,4","305,0","25,4",87,93,100,95,88,78,73,74,75,72,72,72,68,67,66,66,67,67,68,68,68,68,68,68,67,67,66,65,65,66,65,65,65,65,66,66,67,68,67,67,66,66,67,68,67,67,70,72,68,67,70,74,"359,0","384,4","413,0","390,8","365,3","320,9","301,8","305,0","308,2","298,6","295,5","298,6","282,7","276,4","273,2","273,2","276,4","276,4","279,6","279,6","279,6","279,6","279,6","279,6","276,4","276,4","273,2","270,0","270,0","273,2","270,0","270,0","270,0","270,0","273,2","273,2","276,4","279,6","276,4","276,4","273,2","273,2","276,4","279,6","276,4","276,4","289,1","298,6","279,6","276,4","289,1","305,0","305,0","311,3","311,3","305,0","311,3","314,5","330,4"
2009,Kladno,20,126779,24. 9. 2025,17. 9. 2025,"396,0","396,0","377,0","18,9",97,97,100,96,86,79,78,77,77,77,75,74,74,74,73,75,74,73,72,73,73,73,72,73,72,72,73,73,71,71,71,71,72,72,71,72,72,72,72,72,72,72,72,72,72,72,73,72,74,76,78,83,"437,8","438,6","452,8","434,6","390,4","359,7","353,4","348,6","347,1","347,1","337,6","335,2","336,8","334,4","330,5","337,6","335,2","328,9","327,3","328,9","332,1","330,5","327,3","328,9","328,1","327,3","328,9","328,9","321,8","321,8","321,0","321,8","324,2","325,0","323,4","324,2","326,6","325,8","325,0","324,2","326,6","325,8","325,8","326,6","326,6","328,1","330,5","328,1","336,0","342,3","351,0","377,0","379,4","386,5","383,3","379,4","379,4","387,3","396,0"
